time,throttle_left,throttle_right,omega_left,omega_right,ticks_left,ticks_right,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,ori_x,ori_y,ori_z,ori_w
1752506864.650086,0.30000001192092896,0.30000001192092896,5.184200286865234,5.816635608673096,340,420,-0.03943644722063524,0.05555742733447598,-0.27658805550688764,0.1014404296875,-0.07763671875,-1.18603515625,-0.606894983249421,-0.7929712752834416,0.0,0.0536193610744961
1752506864.7001028,0.30000001192092896,0.30000001192092896,5.012885570526123,5.7829132080078125,345,427,0.0191852986478766,0.16773813192830997,-0.33147932663831237,0.032470703125,-0.0894775390625,-1.1055908203125,-0.9391513020378675,-0.34081070442301875,0.0,0.04292896028631812
1752506864.7501,0.30000001192092896,0.30000001192092896,5.124166965484619,5.958695888519287,351,433,-0.005595712105630674,-0.011724349173702367,-0.328148545623056,-0.0084228515625,0.026123046875,-1.2484130859375,0.9516930387267133,0.3068542975333795,-0.0,0.01099091099095376
1752506864.8001099,0.30000001192092896,0.30000001192092896,5.066587448120117,6.1828413009643555,356,440,0.0035972434964768626,-0.13176569696354137,-0.288845329643031,0.091064453125,0.0244140625,-1.28857421875,0.25877916128332024,-0.9652462715867846,0.0,0.036510010590425114
1752506864.850106,0.30000001192092896,0.30000001192092896,5.076061725616455,6.047525882720947,362,446,-0.1697366005374638,-0.09872434929219834,-0.29310872934255916,0.0250244140625,-0.03466796875,-1.207275390625,-0.8107027577836695,-0.5851903709353953,0.0,0.01769938661218424
1752506864.9000783,0.30000001192092896,0.30000001192092896,5.395356178283691,6.133910655975342,368,453,-0.032508422708902016,-0.002398162330984575,-0.24487902024164715,0.034423828125,-0.113525390625,-1.2159423828125,-0.9558412601762448,-0.2898357369566678,0.0,0.048607930705528005
1752506864.9500976,0.30000001192092896,0.30000001192092896,5.431692123413086,6.155058860778809,373,460,-0.00985911180515881,0.0002664624812205083,-0.3877029101758396,0.0269775390625,-0.0826416015625,-1.2779541015625,-0.9500826872082061,-0.31014516081685906,0.0,0.033953890633010755
1752506865.000095,0.30000001192092896,0.30000001192092896,5.3547563552856445,6.311501979827881,379,467,-0.05529096485325548,0.0305099540997482,-0.4302036759305107,0.03955078125,-0.0833740234375,-1.30078125,-0.9029288553189779,-0.42832935449977866,0.0,0.03540404364141625
1752506865.0500407,0.30000001192092896,0.30000001192092896,5.351193904876709,6.4043660163879395,385,473,-0.0287779479718149,-0.13749464030978228,-0.18412557452337125,0.0985107421875,0.183837890625,-1.3848876953125,0.8789670586962486,-0.471000276472691,0.0,0.07467027045293148
1752506865.100089,0.30000001192092896,0.30000001192092896,5.467899322509766,6.003204822540283,391,479,-0.12017457903044926,-0.10405359891660851,-0.15761255764193066,0.1446533203125,0.0235595703125,-1.401123046875,0.1605328648468214,-0.9856551546294474,0.0,0.05208757487608963
